Flight Number,Date,Origin,Destination,Scheduled Departure Time,,Actual Departure Time,,Scheduled Arrival Time,,Actual Arrival Time,,Flight Duration,Delay (in minutes),Cancellation,Reason for Delay,Number of Passengers,Customer Satisfaction Score
SH0029,06-01-2025,DEN,DEN,01-01-2023 19:13,,01-01-2023 20:22,,02-01-2023 00:52,,02-01-2023 02:01,,339,69,No,None,167,7
SH2715,27-03-2025,LAX,ORD,01-01-2023 08:24,,01-01-2023 09:24,,01-01-2023 13:38,,01-01-2023 14:25,,314,47,No,None,272,5
SH5696,22-06-2023,DFW,LAX,01-01-2023 03:37,,01-01-2023 05:01,,01-01-2023 05:43,,01-01-2023 06:15,,126,32,Yes,Technical Issue,279,3
SH3340,18-04-2024,DEN,DFW,01-01-2023 18:08,,01-01-2023 19:42,,01-01-2023 19:43,,01-01-2023 20:17,,95,34,No,Weather,152,5
SH6560,24-06-2025,DFW,DFW,01-01-2023 23:16,,01-01-2023 23:22,,02-01-2023 03:51,,02-01-2023 04:51,,275,60,No,None,111,5
SH3993,22-06-2023,MIA,JFK,01-01-2023 15:33,,01-01-2023 16:00,,01-01-2023 18:17,,01-01-2023 18:46,,164,29,No,None,237,4
SH3938,26-01-2023,LAX,SFO,01-01-2023 16:31,,01-01-2023 16:36,,01-01-2023 18:12,,01-01-2023 18:42,,101,30,No,None,162,3
SH9560,15-10-2024,ORD,SEA,01-01-2023 16:45,,01-01-2023 17:05,,01-01-2023 20:40,,01-01-2023 22:36,,235,116,No,Technical Issue,296,9
SH1908,25-05-2024,JFK,ORD,01-01-2023 18:36,,01-01-2023 20:07,,01-01-2023 21:53,,01-01-2023 22:58,,197,65,No,Technical Issue,260,10
SH1602,06-06-2025,DEN,ATL,01-01-2023 18:04,,01-01-2023 18:41,,01-01-2023 22:46,,01-01-2023 23:32,,282,46,No,None,117,5
SH8274,08-01-2025,LAX,MIA,01-01-2023 01:50,,01-01-2023 01:52,,01-01-2023 05:32,,01-01-2023 06:21,,222,49,No,Technical Issue,270,6
SH3657,13-11-2023,ATL,SEA,01-01-2023 04:43,,01-01-2023 06:24,,01-01-2023 06:58,,01-01-2023 07:40,,135,42,Yes,Weather,71,1
SH2184,14-08-2023,JFK,DEN,01-01-2023 21:13,,01-01-2023 22:52,,01-01-2023 22:32,,01-01-2023 23:13,,79,41,No,None,236,6
SH6962,21-05-2025,SEA,MIA,01-01-2023 10:48,,01-01-2023 12:43,,01-01-2023 13:18,,01-01-2023 14:02,,150,44,No,Air Traffic,72,2
SH5362,19-10-2024,ORD,LAX,01-01-2023 20:17,,01-01-2023 22:01,,02-01-2023 02:16,,02-01-2023 02:19,,359,3,No,Air Traffic,265,3
SH8157,23-09-2025,DFW,DFW,01-01-2023 11:26,,01-01-2023 12:40,,01-01-2023 17:07,,01-01-2023 18:06,,341,59,No,Air Traffic,174,4
SH6764,19-07-2023,SFO,JFK,01-01-2023 14:11,,01-01-2023 14:26,,01-01-2023 20:06,,01-01-2023 21:27,,355,81,No,Weather,210,4
SH0476,18-04-2025,DEN,SFO,01-01-2023 05:37,,01-01-2023 07:18,,01-01-2023 10:52,,01-01-2023 12:41,,315,109,No,Crew Unavailability,95,4
SH5340,14-07-2023,JFK,DFW,01-01-2023 01:21,,01-01-2023 03:17,,01-01-2023 03:45,,01-01-2023 05:12,,144,87,No,Weather,260,5
SH4681,08-01-2024,DFW,DEN,01-01-2023 17:48,,01-01-2023 19:00,,01-01-2023 20:12,,01-01-2023 20:40,,144,28,No,None,237,10
SH0952,14-07-2025,JFK,SFO,01-01-2023 01:59,,01-01-2023 02:19,,01-01-2023 07:24,,01-01-2023 08:29,,325,65,Yes,None,215,1
SH3013,27-08-2025,LAS,SEA,01-01-2023 18:19,,01-01-2023 20:16,,01-01-2023 23:18,,01-01-2023 23:32,,299,14,No,Weather,123,6
SH4340,10-10-2023,ORD,LAX,01-01-2023 14:57,,01-01-2023 15:04,,01-01-2023 18:27,,01-01-2023 19:34,,210,67,Yes,Weather,244,8
SH2767,20-09-2025,LAX,ATL,01-01-2023 10:37,,01-01-2023 11:35,,01-01-2023 12:50,,01-01-2023 13:18,,133,28,No,None,76,5
